radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,302,220,45000,230288295,165,-79.45984925,44.0611961667,101,12,1,1411694526,1415319889,
UMTS,302,220,45000,230293175,155,-79.4519205455,44.0628348182,932,11,1,1411730574,1415306134,
UMTS,302,220,45000,230281144,381,-79.45157925,44.03811775,11,4,1,1412117575,1412117795,
UMTS,302,880,45000,230269989,,-79.4881746,44.0339028,212,5,1,1412125563,1412125569,
UMTS,302,880,45000,230293149,,-79.490781,44.033573,0,1,1,1412125563,1412125569,
UMTS,302,880,45000,230282384,,-79.48887,44.033852,151,2,1,1412125564,1412348334,
UMTS,302,880,45000,230276073,,-79.484021025,44.03475045,685,40,1,1412125564,1412348334,
UMTS,302,880,45000,230293256,,-79.475779,44.03645,0,1,1,1412125565,1412125569,
UMTS,302,880,45000,230293257,,-79.4877486,44.0342276,988,5,1,1412125565,1414171298,
UMTS,302,220,45000,230281871,154,-79.5040769143,44.0449537469,1163,245,1,1412469607,1417369505,
UMTS,302,220,45000,230281870,484,-79.4830462917,44.0541855,2995,72,1,1412469608,1416958316,
UMTS,302,220,45000,230293193,162,-79.4866707143,44.0710645195,875,77,1,1412527166,1417321617,
UMTS,302,220,45000,230276092,381,-79.4650141111,44.0388606111,140,18,1,1412721613,1412721780,
UMTS,302,220,45000,230268114,34,-79.4908414,44.0336356,25,5,1,1412898456,1416624485,
UMTS,302,220,45000,230276766,85,-79.4244458571,44.042711619,5584,21,1,1413037650,1415481762,
UMTS,302,220,45000,230293261,354,-79.4622563636,43.9973126364,4643,22,1,1413169293,1416538968,
UMTS,302,220,45000,230278445,238,-79.4829853108,44.0525841081,483,74,1,1413470022,1416624342,
UMTS,302,220,45000,230293150,158,-79.4805602132,44.0459042132,1390,258,1,1413516470,1416624342,
UMTS,302,220,45000,230271871,485,-79.5017015556,44.0402594815,1185,27,1,1413754815,1417379028,
UMTS,302,220,45000,230281869,485,-79.5073941309,44.0626745288,1568,191,1,1413754816,1417369505,
UMTS,302,220,45008,230281292,481,-79.485847,44.076924,743,16,1,1413754819,1417369759,
UMTS,302,220,45000,230276754,85,-79.477063,44.0637533,1979,10,1,1413754819,1414266683,
UMTS,302,220,45008,231078114,509,-79.4912729167,44.071078,181,12,1,1413754819,1413755077,
UMTS,302,220,45008,230276081,509,-79.4895684,44.0706906,60,5,1,1413754819,1413754965,
UMTS,302,220,45000,230276081,162,-79.4912883256,44.0710224651,383,43,1,1413754819,1413755077,
UMTS,302,220,45000,230281292,162,-79.48631595,44.0735659,507,20,1,1413754819,1417369505,
UMTS,302,220,45000,230271292,162,-79.4896838462,44.0709181538,95,13,1,1413754819,1413755077,
UMTS,302,220,45008,230280584,509,-79.4935623333,44.0708936667,84,3,1,1413754819,1413754965,
UMTS,302,220,45000,231078114,158,-79.4910695,44.0709215,6,2,1,1413754819,1413754965,
GSM,302,720,4800,31693,,-79.490135,44.070889,0,1,1,1413754819,1413754965,
GSM,302,720,4800,38488,,-79.4903661667,44.071057,38,6,1,1413754819,1413754965,
UMTS,302,220,45000,230271869,483,-79.4904208,44.0712196,22,5,1,1413754819,1413754965,
GSM,302,720,4800,38482,,-79.490135,44.070889,0,1,1,1413754820,1413754965,
UMTS,302,720,60075,1604560,352,-79.4904135,44.0709575,11,2,1,1413754820,1413754965,
UMTS,302,220,45008,231065005,482,-79.490213,44.071122,0,1,1,1413754820,1413754965,
GSM,302,720,4800,31699,,-79.490135,44.070889,0,1,1,1413754820,1413754965,
